asset,Serial #
AS478892,181170767
AS478891,181170768
AS478890,181170769
AS478889,181170770
AS478888,181170771
AS478887,181170772
AS478886,181170773
AS478885,181170774
AS478884,181170775
AS478883,181170776
AS478882,181170777
AS478881,181170826
AS478880,181170827
AS478879,181170828
AS478878,181170829
AS478877,181170830
AS478876,181170831
AS478875,181170832
AS478874,181170833
AS478873,181170834
AS478872,181170835
AS478871,181170836
AS470194,C11911180081
AS470193,R0630520
AS470192,R023
AS470191,N/A
AS470190,N/A
AS470189,N/A
AS470188,2397195
AS470187,F3I4-068-0350
AS470186,2818AAPCB89D900153
AS470185,2007597
AS470184,AESC-SEA-K325
AS470183,R0630448
AS470182,2352
AS470181,E2719
AS470180,R0630066
AS470179,N4810108
AS470178,1084829
AS470177,C11902180149
AS470176,R0630519
AS470175,R023
AS470174,N/A
AS470173,N/A
AS470172,N/A
AS470171,2397200
AS470170,F3I3-037-0375
AS470169,N/A
AS470168,2818AAPCB89D900349
AS470167,2007599
AS470166,AESC-SEA-K308
AS470165,R0630449
AS470164,2353
AS470163,E2718
AS470162,R0630067
AS470161,N4810058
AS470160,1084828
AS464493,
AS464492,
AS465744,
AS465758,
AS465839,
AS465837,
AS465836,
AS465840,
AS465838,
AS465829,
AS465827,
AS465835,
AS465834,
AS465826,
AS465832,
AS465833,
AS465831,
AS465823,
AS465830,
AS465828,
AS465825,
AS465815,
AS465824,
AS465822,
AS465821,
AS465820,
AS465809,
AS465819,
AS465818,
AS465817,
AS465816,
AS465814,
AS465811,
AS465812,
AS465813,
AS465810,
AS465808,
AS465807,
AS465806,
AS465805,
AS465804,
AS465803,
AS465802,
AS465801,
AS465788,
AS465800,
AS465799,
AS465798,
AS465797,
AS465796,
AS465795,
AS465780,
AS465794,
AS465787,
AS465793,
AS465792,
AS465791,
AS465769,
AS465781,
AS465786,
AS465785,
AS465784,
AS465783,
AS465782,
AS465770,
AS465775,
AS465779,
AS465778,
AS465777,
AS465776,
AS465762,
AS465766,
AS465774,
AS465773,
AS465772,
AS465767,
AS465771,
AS465761,
AS465768,
AS465764,
AS465763,
AS465754,
AS465765,
AS465753,
AS465752,
AS465760,
AS465756,
AS465759,
AS465747,
AS465757,
AS465755,
AS465737,
AS465751,
AS465750,
AS465749,
AS465743,
AS465742,
AS465748,
AS465740,
AS465746,
AS465745,
AS465736,
AS465728,
AS465741,
AS465739,
AS465732,
AS465734,
AS465738,
AS465727,
AS465729,
AS465735,
AS465733,
AS465731,
AS465730,
AS465722,
AS465710,
AS465726,
AS465725,
AS465719,
AS465717,
AS465724,
AS465723,
AS465721,
AS465720,
AS465712,
AS465711,
AS465718,
AS465716,
AS465715,
AS465714,
AS465713,
AS465702,
AS465709,
AS465708,
AS465707,
AS465706,
AS465705,
AS465704,
AS465703,
AS465687,
AS465693,
AS465694,
AS465701,
AS465700,
AS465699,
AS465698,
AS465697,
AS465682,
AS465696,
AS465684,
AS465695,
AS465692,
AS465691,
AS465686,
AS465690,
AS465676,
AS465689,
AS465673,
AS465688,
AS465679,
AS465685,
AS465683,
AS465667,
AS465681,
AS465680,
AS465678,
AS465670,
AS465677,
AS465675,
AS465668,
AS465674,
AS465672,
AS465665,
AS465671,
AS465663,
AS465669,
AS465656,
AS465666,
AS465660,
AS465652,
AS465651,
AS465664,
AS465655,
AS465662,
AS465661,
AS465659,
AS465658,
AS465657,
AS465654,
AS465653,
AS465643,
AS465644,
AS465647,
AS465650,
AS465649,
AS465645,
AS465638,
AS465648,
AS465641,
AS465639,
AS465646,
AS465635,
AS465642,
AS465640,
AS465637,
AS465636,
AS465629,
AS465625,
AS465621,
AS465634,
AS465633,
AS465632,
AS465631,
AS465630,
AS465622,
AS465628,
AS465627,
AS465626,
AS465624,
AS465623,
AS465620,
AS465615,
AS465619,
AS465618,
AS465613,
AS465617,
AS465616,
AS465614,
AS465612,
AS465608,
AS465611,
AS465610,
AS465609,
AS465607,
AS465594,
AS465606,
AS465604,
AS465603,
AS465602,
AS465601,
AS465600,
AS465599,
AS465598,
AS465597,
AS465592,
AS465596,
AS465595,
AS465593,
AS465591,
AS465587,
AS465590,
AS465584,
AS465589,
AS465588,
AS465581,
AS465569,
AS465586,
AS465585,
AS465583,
AS465582,
AS465568,
AS465580,
AS465565,
AS465561,
AS465579,
AS465578,
AS465577,
AS465576,
AS465575,
AS465574,
AS465573,
AS465572,
AS465571,
AS465570,
AS465553,
AS465567,
AS465566,
AS465559,
AS465564,
AS465563,
AS465562,
AS465552,
AS465551,
AS465526,
AS465560,
AS465558,
AS465557,
AS465556,
AS465555,
AS465554,
AS465550,
AS465549,
AS465548,
AS465547,
AS465546,
AS465545,
AS465535,
AS465544,
AS465543,
AS465542,
AS465541,
AS465540,
AS465539,
AS465538,
AS465537,
AS465536,
AS465534,
AS465533,
AS465532,
AS465531,
AS465530,
AS465519,
AS465521,
AS465529,
AS465528,
AS465527,
AS465512,
AS465525,
AS465524,
AS465523,
AS465516,
AS465522,
AS465520,
AS465514,
AS465518,
AS465517,
AS465506,
AS465494,
AS465515,
AS465513,
AS465505,
AS465511,
AS465510,
AS465500,
AS465509,
AS465503,
AS465508,
AS465507,
AS465496,
AS465504,
AS465495,
AS465498,
AS465499,
AS465502,
AS465493,
AS465497,
AS465492,
AS465501,
AS465491,
AS454128,TO4239D188786
AS448872,171146503
